0,Giving Natural,13
1,Reckless Effect,18
2,Exhausted Internet,20
3,Small Bet,8
4,Jumbo Till,14
5,Dreary Computer,26
6,Capable Apartment,10
7,Amazing Housing,25
8,Green Pressure,25
9,Guarded Bar,9
10,Breezy Ticket,17
11,Snoopy Cut,22
12,Immense Quote,23
13,Giant Body,15
14,Forgetful Go,4
15,Incandescent Physical,4
16,Lame National,2
17,Kooky Solid,24
18,Stupid Air,4
19,Incomparable Orange,6
20,Incredible Sick,27
21,Innocent Till,24
22,Lavish Competition,11
23,Failing Bet,4
24,Ill-Informed Beach,28
25,Another Personal,26
26,Amazing Body,13
27,Demonic Brother,13
28,Natural Revolution,24
29,Growing Air,18
30,Wasteful List,20
31,Wasteful Row,16
32,Federal Sick,9
33,Unimportant Tap,26
34,Careful Magazine,13
35,Offbeat Bottle,29
36,Brainy Solid,11
37,Outlying Offer,10
38,Lovely List,29
39,Tremendous Cut,10
40,Foreign Body,9
41,Agonizing Answer,19
42,Breezy Material,1
43,Incompatible Air,25
44,Ubiquitous Spirit,4
45,Physical Computer,1
46,Unimportant Dependent,1
47,Forgetful Road,4
48,Courteous Tap,21
49,Torn Computer,22
50,Courteous Still,12
51,Unimportant Research,12
52,Giving Memory,14
53,3D Security,19
54,Divergent Employ,27
55,Courageous Possession,21
56,Virtual Sink,23
57,3D Go,16
58,Playful Bar,22
59,Nice Nation,24
60,Playful Philosophy,20
61,Federal Physical,19
62,Clammy Cup,12
63,Well-Made Part,26
64,Devoted Effect,23
65,Anxious Competition,13
66,Small Body,29
67,Innocent Dish,7
68,Amazing Go,4
69,Bland Post,20
70,Clammy Air,30
71,Immense Hospital,26
72,Popular Opinion,29
73,Dangerous Personal,6
74,Incomparable Effect,6
75,Bland Effect,17
76,Amazing Strain,30
77,Deficient Pressure,3
78,Bland Letter,3
79,Chivalrous Other,8
80,Spiky Post,28
81,Capable Other,18
82,Cut Sink,6
83,Federal Strain,22
84,Lackadaisical Magazine,10
85,Sweltering Post,28
86,Former Instruction,3
87,Popular Scratch,23
88,Crabby Objective,18
89,Thick Strain,20
90,Lavish Offer,10
91,Giving National,7
92,Innocent Bet,17
93,Parallel Parent,10
94,Obnoxious Quote,29
95,Asleep Block,23
96,Reckless Computer,1
97,Hearty Bar,26
98,Brainy Bet,28
99,Blue Nose,12
100,Innocent Employee,7
101,Blue Air,5
102,Screeching Ticket,19
103,Physical Research,29
104,Brash Break,22
105,True Still,9
106,Miserable Natural,20
107,Divergent Formal,8
108,Mysterious Effect,13
109,Sweltering Internet,5
110,Careful Representative,19
111,Physical Magazine,17
112,Popular Offer,8
113,Growling Apartment,22
114,Aquatic Material,13
115,Screeching Computer,5
116,Snoopy Bottle,29
117,Wild Orange,1
118,Premium Intention,30
119,Womanly Valuable,26
120,Courteous Brother,2
121,Gullible Competition,6
122,Equable Particular,15
123,Exemplary Cut,19
124,Improbable Air,3
125,Accurate National,14
126,Imperfect Valuable,26
127,Natural Letter,28
128,Premium Green,4
129,Dreary Injury,8
130,Divergent Natural,24
131,Dangerous Recover,10
132,Ill-Informed Tap,19
133,Dangerous Reference,19
134,True Part,9
135,Great Go,17
136,Lackadaisical Letter,2
137,Spiky Dependent,22
138,Growing Material,27
139,Small Till,8
140,Failing Pressure,26
141,Klutzy Security,13
142,Ripe Material,13
143,Careful Other,22
144,Anxious Objective,15
145,Popular Sick,8
146,Longing Loan,1
147,Lumpy Pizza,12
148,Deficient Strain,28
149,Reckless Memory,25
150,Enraged Panic,29
151,Literate Panic,10
152,Steadfast Bottle,9
153,Nice Conflict,30
154,Devoted Memory,5
155,Bland Natural,15
156,Brash Brother,22
157,Cut Tap,18
158,Shaky Assist,3
159,Jovial Loan,24
160,Guarded Answer,8
161,Former Formal,11
162,Foreign Effect,7
163,Amazing Philosophy,10
164,Playful Break,3
165,Spiky Assist,18
166,Lumpy Material,13
167,Imaginative Physical,9
168,Chivalrous Return,20
169,Capable Sink,13
170,Raw Burn,9
171,Growling Hospital,4
